Track name,artists
Down with the Sickness,Disturbed
War of the Gods,Amon Amarth
Cities On Flame with Rock and Roll,Blue Oyster Cult
Why Can't This Be Love,Van Halen
Monkey Business,Skid Row
Big City Nights,Scorpions
I Cum Blood,Cannibal Corpse
In Union We Stand,Overkill
Gods of War,Manowar
Born in Winter,Gojira
Bark at the Moon,Ozzy Osbourne
Scourge of Iron,Cannibal Corpse
Davidian,Machine Head
Silent Lucidity,Queensryche
Vermilion,Slipknot
Cowboys from Hell,Pantera
A Little Piece of Heaven,Avenged Sevenfold
Abigail,King Diamond
Made of Scars,Stone Sour
Killed by Death,Motörhead
Lake Bodom,Children Of Bodom
Antisocial,Anthrax
Ashes to Ashes - 2016 Remaster,Faith No More
Last Caress - C.I. Recording 1978,Misfits
Coming Down,Five Finger Death Punch
Welcome to My Nightmare,Alice Cooper
Paranoid - 2012 - Remaster,Black Sabbath
Inside the Fire,Disturbed
No One Like You,Scorpions
The Toxic Waltz,Exodus
Moon Baby,Godsmack
Egypt (The Chains Are On),Dio
Black Fire - 2010 Remastered Edition,DragonForce
Nemesis,Arch Enemy
Looks That Kill,Motley Crue
Rats,Ghost
Bodies,Drowning Pool
Take This Oath,Killswitch Engage
Fury Of The Storm,DragonForce
Wasted Time,Skid Row
Twilight of the Gods,Blind Guardian
Bartzabel,Behemoth
A Skull Full of Maggots,Cannibal Corpse
Operation Ground and Pound,DragonForce
Toxicity,System Of A Down
I Am The Law,Anthrax
The Bleeding,Cannibal Corpse
Afterlife,Avenged Sevenfold
Disposable Teens,Marilyn Manson
Rising Force,Yngwie Malmsteen
A Dangerous Meeting,Mercyful Fate
Happy?,Mudvayne
Set To Fail,Lamb of God
Animal,Def Leppard
Trip at the Brain,Suicidal Tendencies
Straight Through the Heart,Dio
37 Stitches,Drowning Pool
Highway Star,Deep Purple
Children of the Grave,Black Sabbath
Ruin,Lamb of God
Ace of Spades,Motörhead
Forget to Remember - From Saw II - Original Soundtrack,Mudvayne
Zero Signal,Fear Factory
Still Counting,Volbeat
Ocean Planet,Gojira
Plush,Stone Temple Pilots
I Surrender,Rainbow
The New Order,Testament
Souls of Black,Testament
"Knockin' On Heaven's Door - Live At The Marquee Club,London / 1987"
Resurrection,Fear Factory
Astro Zombies,Misfits
Sad But True,Metallica
Elimination,Overkill
Flight of Icarus (2015 Remaster),Iron Maiden
Welcome Home,King Diamond
Evidence - 2016 Remaster,Faith No More
More Than Meets the Eye,Testament
Clockworks,Meshuggah
sillyworld,Stone Sour
The Sound of Silence,Disturbed
No More Mr. Nice Guy - Live in Columbus,Alice Cooper
Man in the Box,Alice In Chains
Rooster (2022 Remaster),Alice In Chains
Backbone,Gojira
Determined,Mudvayne
The Family Ghost,King Diamond
Cry Thunder,DragonForce
Whatever,Godsmack
Best I Can,Queensryche
What You Give,Tesla
Chant for Ezkaton 2000 E. V.,Behemoth
In Mist She Was Standing,Opeth
Dear God,Avenged Sevenfold
Into the Crypts of Rays,Celtic Frost
Iron Man,Black Sabbath
Black Night,Deep Purple
Chop Suey!,System Of A Down
Burn - 2004 Remix,Deep Purple
Cirice,Ghost
Sweet Leaf,Black Sabbath
I'm Your Boogieman,White Zombie
Dragula,Rob Zombie
Aerials,System Of A Down
The Heretic Anthem,Slipknot
Explosia,Gojira
Weak And Powerless,A Perfect Circle
Demanufacture,Fear Factory
Pour Some Sugar On Me,Def Leppard
In Plain View,In Flames
No More Tears,Black Label Society
Always,Killswitch Engage
House Of 1000 Corpses,Rob Zombie
Show Yourself,Mastodon
You Could Be Mine,Guns N' Roses
The One You Love to Hate,Halford
Piranha,Exodus
Shoot 'Em Down,Twisted Sister
Mummy Dust,Ghost
Bounce,System Of A Down
Hypnotize,System Of A Down
Revolution Begins,Arch Enemy
Fire It Up,Black Label Society
Swedish Pagans,Sabaton
Redneck,Lamb of God
Ain't Talkin' 'Bout Love,Van Halen
Bring The Noise,Anthrax
Hate Me,Children Of Bodom
The Hellion - Live Insurrection,Halford
Feed My Frankenstein,Alice Cooper
Give Me All Your Love - 2018 Remaster,Whitesnake
Iron Fist,Motörhead
Mirror Mirror,King Diamond
I Don't Believe In Love,Queensryche
Blackwater Park,Opeth
Heaven Sent,Dokken
Rock Of Ages,Def Leppard
I Want Out - 2024 Remaster,Helloween
Christmas Eve (Sarajevo 12/24),Savatage
Absolute Zero,Stone Sour
Nightfall - Remastered 2007,Blind Guardian
Mouth for War,Pantera
Victim Of Changes,Judas Priest
Pleasure to Kill,Kreator
Lovedrive,Scorpions
The Noose,A Perfect Circle
Godzilla - Remastered,Blue Oyster Cult
Valley of the Damned - 2010 Remastered Edition,DragonForce
The Price,Twisted Sister
Prologue (Apprehension),Apocalyptica
I Don't Care - US Version,Apocalyptica
Strike of the Beast,Exodus
I Want a Woman,Ratt
Is This Love - 2018 Remaster,Whitesnake
E5150 / After All (The Dead) - Live from Radio City Music Hall,Heaven & Hell
Veteran of the Psychic Wars,Blue Oyster Cult
Rainbow in the Dark,Dio
Rock And Roll All Nite,Kiss
Valhalla,Blind Guardian
Princess of the Dawn,Accept
Where Eagles Dare,Misfits
Living Bad Dreams,Judas Priest
Future Breed Machine,Meshuggah
Ghost Division,Sabaton
Mirror Mirror - Remastered 2007,Blind Guardian
Oden Owns You All,Amon Amarth
Combustion,Meshuggah
Rock You Like A Hurricane,Scorpions
Sirens,Savatage
Crazy Train,Ozzy Osbourne
Hall of the Mountain King,Apocalyptica
Get Inside,Stone Sour
Ghost of Perdition,Opeth
Iron Tusk,Mastodon
Beggar's Day,Skid Row
Land of Confusion,Disturbed
Love Song,Tesla
Heaven Nor Hell,Volbeat
No Presents for Christmas,King Diamond
Roots Bloody Roots,Sepultura
Meet Your Maker,In Flames
Still In Love With You,Thin Lizzy
How Will I Laugh Tomorrow,Suicidal Tendencies
The Invisible Guests,King Diamond
Hair Of The Dog,Nazareth
Hush,Deep Purple
"Electric Head,Part 1 (The Agony)"
Mama Weer All Crazee Now,Quiet Riot
Don't Wanna Let You Go,Quiet Riot
Symphony Of Destruction,Megadeth
Feel the Fire,Overkill
London Dungeon,Misfits
Slip of the Lip,Ratt
Bored to Tears,Black Label Society
Funeral,King Diamond
Armageddon It,Def Leppard
The Sign of the Southern Cross - Live from Radio City Music Hall,Heaven & Hell
Metal Crüe,Sabaton
Nutshell,Alice In Chains
Love Bites,Def Leppard
Fear His Name,Overkill
Balls to the Wall,Accept
Dance the Night Away,Van Halen
Nothing Else Matters,Metallica
Hand Of Blood,Bullet For My Valentine
Down from the Sky,Trivium
Stricken,Disturbed
Love Hurts,Nazareth
"Die,Die My Darling"
Extreme Aggression,Kreator
Scream Aim Fire,Bullet For My Valentine
Wild Child,W.A.S.P.
Beggars Day,Nazareth
Start the Fire,Metal Church
I Am (I'm Me),Twisted Sister
Would? (2022 Remaster),Alice In Chains
Falling off the Edge of the World - Live from Radio City Music Hall,Heaven & Hell
Beyond the Black,Metal Church
Coma White,Marilyn Manson
Hail to the King,Avenged Sevenfold
Teenagers From Mars,Misfits
Jailbreak,Thin Lizzy
In My Dreams,Dokken
Wanted Man,Ratt
Iron Man - 2012 - Remaster,Black Sabbath
Sultan's Curse,Mastodon
Wild Flower,The Cult
Into the Now,Tesla
Suicide Solution,Ozzy Osbourne
The Phantom Of The Opera,Nightwish
Devoured by Vermin,Cannibal Corpse
Into the Pit,Testament
5 Minutes Alone,Pantera
The Last Act of Defiance,Exodus
Primo Victoria,Sabaton
Dawn Over A New World,DragonForce
Eagle Fly Free - 2024 Remaster,Helloween
Cherry Orchards,Celtic Frost
Got The Time,Anthrax
I Saw Your Mommy...,Suicidal Tendencies
The Pursuit Of Vikings,Amon Amarth
When the Crowds Are Gone,Savatage
Super Charger Heaven,White Zombie
Indians,Anthrax
Edie (Ciao Baby),The Cult
You Can't Bring Me Down,Suicidal Tendencies
Black Star,Yngwie Malmsteen
Prison Song,System Of A Down
Burn It Down,Five Finger Death Punch
Hallowed Be Thy Name,Iron Maiden
In This River,Black Label Society
Practice What You Preach,Testament
Sinner,Drowning Pool
Heavy Metal Thunder (2009 Remaster),Saxon
Too Fast for Love,Motley Crue
Beneath the Remains,Sepultura
Fast as a Shark,Accept
We Rock,Dio
Simple Man - Rock Version,Shinedown
Man On The Silver Mountain,Rainbow
Take Hold Of The Flame,Queensryche
Scent of Dark,Tony Iommi
Fallen,Volbeat
The Berserker at Stamford Bridge,Amon Amarth
Disciples of the Watch,Testament
Like Light to the Flies,Trivium
Sweet Child O' Mine,Guns N' Roses
Smoke on the Water,Deep Purple
Bully,Shinedown
Blacklist,Exodus
Ten Ton Hammer,Machine Head
Suite-Pee,System Of A Down
The Outsider,A Perfect Circle
Deliverance,Opeth
I Am Above,In Flames
Blind In Texas,W.A.S.P.
Belly Of The Beast,Anthrax
Demon Speeding,Rob Zombie
Midlife Crisis,Faith No More
Eruption,Van Halen
Bad Religion,Godsmack
Year Zero,Ghost
Revolution Is My Name,Pantera
War Pigs / Luke's Wall,Black Sabbath
Possessed,Venom
Hybrid Moments - C.I. Recording 1978,Misfits
The Heaviest Matter of the Universe,Gojira
Breaking the Law,Judas Priest
The Bard's Song - In the Forest - Remastered 2007,Blind Guardian
Warriors of the World United,Manowar
My Apocalypse,Arch Enemy
The Quiet Place,In Flames
Pet,A Perfect Circle
The Beautiful People,Marilyn Manson
Ballad of Dwight Fry,Alice Cooper
Bodom After Midnight,Children Of Bodom
The Number of the Beast,Iron Maiden
Soldiers,Drowning Pool
Wheels of Steel (1997 - Remaster),Saxon
Cut the Cord,Shinedown
Tornado Of Souls,Megadeth
Pull Harder on the Strings of Your Martyr,Trivium
You're in Love,Ratt
Love Gun,Kiss
Trilogy Suite Op: 5,Yngwie Malmsteen
One,Metallica
Wasp / Behind the Wall of Sleep / Bassically / N.I.B.,Black Sabbath
Melissa,Mercyful Fate
Through the Fire and Flames,DragonForce
Satan's Sword (I Have Become) (Live),Behemoth
Spiritwalker,The Cult
Queen Of The Reich - Remastered 2003,Queensryche
The Usurper,Celtic Frost
Twist Of Cain,Danzig
Dancing In The Moonlight (It's Caught Me In It's Spotlight),Thin Lizzy
Spit It Out,Slipknot
Bother,Stone Sour
Stupify,Disturbed
I Love the Night,Blue Oyster Cult
Princess of the Night,Saxon
The Trooper,Iron Maiden
Still of the Night - 2018 Remaster,Whitesnake
A Tout Le Monde - Remastered 2004,Megadeth
The Wake of Magellan,Savatage
In Due Time,Killswitch Engage
Expect No Mercy,Nazareth
Pledge Your Allegiance,Suicidal Tendencies
Conquer All,Behemoth
Tainted Love,Marilyn Manson
Rock Bottom - 2007 Remaster,UFO
Creep,Stone Temple Pilots
Tear Away,Drowning Pool
Jet City Woman,Queensryche
Low,Testament
The Last Journey Home,DragonForce
Rotten to the Core,Overkill
(Don't Fear) The Reaper,Blue Oyster Cult
Them Bones (2022 Remaster),Alice In Chains
Territory,Sepultura
Rock and Roll Angel,Heaven & Hell
Her Black Wings,Danzig
Black Metal,Venom
Painkiller,Judas Priest
Contractor,Lamb of God
Powerslave,Iron Maiden
Fade To Black,Metallica
Crazy Horse,Black Label Society
Under Your Scars,Godsmack
Indestructible,Disturbed
Sweet Soul Sister,The Cult
Power and the Glory - 1999 Remaster,Saxon
Dive! Dive! Dive!,Bruce Dickinson
Until the World Goes Cold,Trivium
Live Wire,Motley Crue
Runes To My Memory,Amon Amarth
Dead End,In Flames
Love to Love - 2008 Remaster,UFO
Patience,Guns N' Roses
Into the Coven,Mercyful Fate
Walk,Pantera
Lady Picture Show,Stone Temple Pilots
Cum On Feel the Noize - Re-Recorded,Quiet Riot
Detroit Rock City - 2012 Remix,Kiss
A Small Victory,Faith No More
Party All Night,Quiet Riot
I'm A Rebel,Accept
Colony of Birchmen,Mastodon
Crying in the Rain - 1987 Version; 2018 Remaster,Whitesnake
Creeping Death,Metallica
Black Sunshine,White Zombie
Foolin',Def Leppard
Pull Me Under,Dream Theater
Chainsaw Charlie(Murders In The New Morgue),W.A.S.P.
Blackout,Scorpions
Broken Down Angel,Nazareth
Electric Eye,Judas Priest
The Last in Line,Dio
Circle of the Tyrants,Celtic Frost
Powersurge,Overkill
The Last Fight,Bullet For My Valentine
Forever and One (Neverland),Helloween
You Can't Stop Rock 'N' Roll,Twisted Sister
Sixpounder,Children Of Bodom
Heaven and Hell - 2008 Remaster,Black Sabbath
Phantom of the Opera,Iron Maiden
30/30-150,Stone Sour
I Wanna Rock,Twisted Sister
Metal Church,Metal Church
Kaiowas,Sepultura
Through Glass,Stone Sour
Fool for Your Loving - 2019 Remaster,Whitesnake
Carolus Rex - English Version,Sabaton
Christine Sixteen,Kiss
Caught In A Mosh,Anthrax
Heaven and Hell,Black Sabbath
Bittersweet,Apocalyptica
Fear of the Dark,Iron Maiden
Dethroned Emperor,Celtic Frost
Amaranth,Nightwish
Coma of Souls,Kreator
S.M.F.,Twisted Sister
"Electric Head,Part 2 (The Ecstasy)"
Ov Fire And The Void,Behemoth
To Hell and Back,Sabaton
Dance,Ratt
Black Sabbath,Black Sabbath
Superbeast,Rob Zombie
Edgecrusher,Fear Factory
Long Live Rock N Roll,Rainbow
Spiders,System Of A Down
Emerald - Alternate Version,Thin Lizzy
Scene Seven: I. The Dance of Eternity,Dream Theater
Hell Bent for Leather,Judas Priest
Seek & Destroy,Metallica
Holy Diver,Dio
The Red & the Black,Blue Oyster Cult
Mother,Danzig
Jambi,TOOL
Over the Mountain,Ozzy Osbourne
Majesty - Remastered 2017,Blind Guardian
The Zoo,Scorpions
Lift Me Up,Five Finger Death Punch
Butchered at Birth,Cannibal Corpse
747 (Strangers In the Night) (1997 - Remaster),Saxon
E.T.I. (Extraterrestrial Intelligence) - Remastered,Blue Oyster Cult
Rational Gaze,Meshuggah
Epic,Faith No More
Locust,Machine Head
Awake,Godsmack
Strife,Trivium
Waking the Demon,Bullet For My Valentine
Guardians Of Asgaard,Amon Amarth
Sulfur,Slipknot
Too Late For Love,Def Leppard
Counting Bodies Like Sheep To The Rhythm Of The War Drums,A Perfect Circle
Terrible Certainty,Kreator
Angry Chair (2022 Remaster),Alice In Chains
How The Gods Kill,Danzig
Facing The Animal,Yngwie Malmsteen
Cape Of Our Hero,Volbeat
Piece of Me,Skid Row
Imperium,Machine Head
Demiurge,Meshuggah
I'm Eighteen,Alice Cooper
Schism,TOOL
Beth - 2012 Remix,Kiss
Shoot Shoot - 2007 Remaster,UFO
Alone Again,Dokken
Bonded by Blood,Exodus
Flying Whales,Gojira
Flag of Hate,Kreator
